Date,Value,ChangePercentMonth,ChangePercentYear
1947-01,21.48,,
1947-02,21.62,0.006518,
1947-03,22.0,0.017576,
1947-04,22.0,0.0,
1947-05,21.95,-0.002273,
1947-06,22.08,0.005923,
1947-07,22.23,0.006793,
1947-08,22.4,0.007647,
1947-09,22.84,0.019643,
1947-10,22.91,0.003065,
1947-11,23.06,0.006547,
1947-12,23.41,0.015178,
1948-01,23.68,0.011534,0.102421
1948-02,23.67,-0.000422,0.09482
1948-03,23.5,-0.007182,0.068182
1948-04,23.82,0.013617,0.082727
1948-05,24.01,0.007976,0.09385
1948-06,24.15,0.005831,0.09375
1948-07,24.4,0.010352,0.097616
1948-08,24.43,0.00123,0.090625
1948-09,24.36,-0.002865,0.06655
1948-10,24.31,-0.002053,0.061109
1948-11,24.16,-0.00617,0.047702
1948-12,24.05,-0.004553,0.027339
1949-01,24.01,-0.001663,0.013936
1949-02,23.91,-0.004165,0.010139
1949-03,23.91,0.0,0.017447
1949-04,23.92,0.000418,0.004198
1949-05,23.91,-0.000418,-0.004165
1949-06,23.92,0.000418,-0.009524
1949-07,23.7,-0.009197,-0.028689
1949-08,23.7,0.0,-0.029881
1949-09,23.75,0.00211,-0.025041
1949-10,23.67,-0.003368,-0.026327
1949-11,23.7,0.001267,-0.01904
1949-12,23.61,-0.003797,-0.018295
1950-01,23.51,-0.004235,-0.020825
1950-02,23.61,0.004254,-0.012547
1950-03,23.64,0.001271,-0.011292
1950-04,23.65,0.000423,-0.011288
1950-05,23.77,0.005074,-0.005855
1950-06,23.88,0.004628,-0.001672
1950-07,24.07,0.007956,0.015612
1950-08,24.2,0.005401,0.021097
1950-09,24.34,0.005785,0.024842
1950-10,24.5,0.006574,0.035065
1950-11,24.6,0.004082,0.037975
1950-12,24.98,0.015447,0.058026
1951-01,25.38,0.016013,0.079541
1951-02,25.83,0.01773,0.094028
1951-03,25.88,0.001936,0.094755
1951-04,25.92,0.001546,0.095983
1951-05,25.99,0.002701,0.093395
1951-06,25.93,-0.002309,0.085846
1951-07,25.91,-0.000771,0.076444
1951-08,25.86,-0.00193,0.068595
1951-09,26.03,0.006574,0.069433
1951-10,26.16,0.004994,0.067755
1951-11,26.32,0.006116,0.069919
1951-12,26.47,0.005699,0.059648
1952-01,26.45,-0.000756,0.042159
1952-02,26.41,-0.001512,0.022455
1952-03,26.39,-0.000757,0.019706
1952-04,26.46,0.002653,0.020833
1952-05,26.47,0.000378,0.018469
1952-06,26.53,0.002267,0.023139
1952-07,26.68,0.005654,0.029718
1952-08,26.69,0.000375,0.032096
1952-09,26.63,-0.002248,0.02305
1952-10,26.69,0.002253,0.02026
1952-11,26.69,0.0,0.014058
1952-12,26.71,0.000749,0.009067
1953-01,26.64,-0.002621,0.007183
1953-02,26.59,-0.001877,0.006816
1953-03,26.63,0.001504,0.009094
1953-04,26.69,0.002253,0.008692
1953-05,26.7,0.000375,0.008689
1953-06,26.77,0.002622,0.009046
1953-07,26.79,0.000747,0.004123
1953-08,26.85,0.00224,0.005995
1953-09,26.89,0.00149,0.009763
1953-10,26.95,0.002231,0.009741
1953-11,26.85,-0.003711,0.005995
1953-12,26.87,0.000745,0.00599
1954-01,26.94,0.002605,0.011261
1954-02,26.99,0.001856,0.015043
1954-03,26.93,-0.002223,0.011265
1954-04,26.86,-0.002599,0.006369
1954-05,26.93,0.002606,0.008614
1954-06,26.94,0.000371,0.00635
1954-07,26.86,-0.00297,0.002613
1954-08,26.85,-0.000372,0.0
1954-09,26.81,-0.00149,-0.002975
1954-10,26.72,-0.003357,-0.008534
1954-11,26.78,0.002246,-0.002607
1954-12,26.77,-0.000373,-0.003722
1955-01,26.77,0.0,-0.00631
1955-02,26.82,0.001868,-0.006299
1955-03,26.79,-0.001119,-0.005199
1955-04,26.79,0.0,-0.002606
1955-05,26.77,-0.000747,-0.005941
1955-06,26.71,-0.002241,-0.008537
1955-07,26.76,0.001872,-0.003723
1955-08,26.72,-0.001495,-0.004842
1955-09,26.85,0.004865,0.001492
1955-10,26.82,-0.001117,0.003743
1955-11,26.88,0.002237,0.003734
1955-12,26.87,-0.000372,0.003736
1956-01,26.83,-0.001489,0.002241
1956-02,26.86,0.001118,0.001491
1956-03,26.89,0.001117,0.003733
1956-04,26.93,0.001488,0.005226
1956-05,27.03,0.003713,0.009712
1956-06,27.15,0.00444,0.016473
1956-07,27.29,0.005157,0.019806
1956-08,27.31,0.000733,0.022081
1956-09,27.35,0.001465,0.018622
1956-10,27.51,0.00585,0.025727
1956-11,27.51,0.0,0.023438
1956-12,27.63,0.004362,0.028284
1957-01,27.67,0.001448,0.031308
1957-02,27.8,0.004698,0.034996
1957-03,27.86,0.002158,0.036073
1957-04,27.93,0.002513,0.037133
1957-05,28.0,0.002506,0.035886
1957-06,28.11,0.003929,0.035359
1957-07,28.19,0.002846,0.032979
1957-08,28.28,0.003193,0.035518
1957-09,28.32,0.001414,0.035466
1957-10,28.32,0.0,0.029444
1957-11,28.41,0.003178,0.032715
1957-12,28.47,0.002112,0.030402
1958-01,28.64,0.005971,0.035056
1958-02,28.7,0.002095,0.032374
1958-03,28.87,0.005923,0.036253
1958-04,28.94,0.002425,0.036162
1958-05,28.94,0.0,0.033571
1958-06,28.91,-0.001037,0.02846
1958-07,28.89,-0.000692,0.024832
1958-08,28.94,0.001731,0.023338
1958-09,28.91,-0.001037,0.020833
1958-10,28.91,0.0,0.020833
1958-11,28.95,0.001384,0.019007
1958-12,28.97,0.000691,0.017562
1959-01,29.01,0.001381,0.012919
1959-02,29.0,-0.000345,0.010453
1959-03,28.97,-0.001034,0.003464
1959-04,28.98,0.000345,0.001382
1959-05,29.04,0.00207,0.003455
1959-06,29.11,0.00241,0.006918
1959-07,29.15,0.001374,0.009
1959-08,29.18,0.001029,0.008293
1959-09,29.25,0.002399,0.011761
1959-10,29.35,0.003419,0.01522
1959-11,29.35,0.0,0.013817
1959-12,29.41,0.002044,0.015188
1960-01,29.37,-0.00136,0.01241
1960-02,29.41,0.001362,0.014138
1960-03,29.41,0.0,0.015188
1960-04,29.54,0.00442,0.019324
1960-05,29.57,0.001016,0.018251
1960-06,29.61,0.001353,0.017176
1960-07,29.55,-0.002026,0.013722
1960-08,29.61,0.00203,0.014736
1960-09,29.61,0.0,0.012308
1960-10,29.75,0.004728,0.013629
1960-11,29.78,0.001008,0.014651
1960-12,29.81,0.001007,0.013601
1961-01,29.84,0.001006,0.016003
