Date,Value,ChangePercentMonth,ChangePercentYear
1994-01,71.18,,
1994-02,71.26,0.001124,
1994-03,71.76,0.007017,
1994-04,72.39,0.008779,
1994-05,72.36,-0.000414,
1994-06,72.47,0.00152,
1994-07,71.51,-0.013247,
1994-08,71.49,-0.00028,
1994-09,70.88,-0.008533,
1994-10,70.47,-0.005784,
1994-11,70.79,0.004541,
1994-12,72.59,0.025427,
1995-01,74.62,0.027965,0.048328
1995-02,74.2,-0.005629,0.041257
1995-03,73.48,-0.009704,0.023969
1995-04,71.2,-0.031029,-0.016439
1995-05,71.16,-0.000562,-0.016584
1995-06,71.38,0.003092,-0.015041
1995-07,71.46,0.001121,-0.000699
1995-08,73.33,0.026168,0.025738
1995-09,74.56,0.016773,0.051919
1995-10,74.48,-0.001073,0.056904
1995-11,75.63,0.01544,0.068371
1995-12,76.15,0.006876,0.049043
1996-01,76.65,0.006566,0.027205
1996-02,76.87,0.00287,0.035984
1996-03,76.94,0.000911,0.047088
1996-04,77.14,0.002599,0.083427
1996-05,77.45,0.004019,0.088392
1996-06,77.82,0.004777,0.090221
1996-07,77.79,-0.000386,0.088581
1996-08,77.42,-0.004756,0.055775
1996-09,77.85,0.005554,0.044126
1996-10,78.3,0.00578,0.051289
1996-11,78.01,-0.003704,0.031469
1996-12,78.87,0.011024,0.035719
1997-01,79.72,0.010777,0.040052
1997-02,81.24,0.019067,0.056849
1997-03,81.94,0.008616,0.064986
1997-04,82.57,0.007689,0.070391
1997-05,81.64,-0.011263,0.054099
1997-06,81.46,-0.002205,0.046775
1997-07,82.26,0.009821,0.057462
1997-08,83.79,0.0186,0.082278
1997-09,84.15,0.004296,0.080925
1997-10,84.5,0.004159,0.079183
1997-11,86.01,0.01787,0.102551
1997-12,89.08,0.035694,0.129454
1998-01,91.69,0.0293,0.150151
1998-02,90.61,-0.011779,0.115337
1998-03,90.39,-0.002428,0.103124
1998-04,90.37,-0.000221,0.094465
1998-05,91.09,0.007967,0.115752
1998-06,93.13,0.022395,0.14326
1998-07,93.41,0.003007,0.135546
1998-08,95.12,0.018306,0.135219
1998-09,94.02,-0.011564,0.117291
