Date,Value,ChangePercentMonth,ChangePercentYear
1986-01,22.93,,
1986-02,15.46,-0.325774,
1986-03,12.61,-0.184347,
1986-04,12.84,0.018239,
1986-05,15.38,0.197819,
1986-06,13.43,-0.126788,
1986-07,11.59,-0.137007,
1986-08,15.1,0.302847,
1986-09,14.87,-0.015232,
1986-10,14.9,0.002017,
1986-11,15.22,0.021477,
1986-12,16.11,0.058476,
1987-01,18.65,0.157666,-0.186655
1987-02,17.75,-0.048257,0.148124
1987-03,18.3,0.030986,0.451229
1987-04,18.68,0.020765,0.454829
1987-05,19.44,0.040685,0.263979
1987-06,20.07,0.032407,0.494415
1987-07,21.34,0.063279,0.841242
1987-08,20.31,-0.048266,0.345033
1987-09,19.53,-0.038405,0.313383
1987-10,19.86,0.016897,0.332886
1987-11,18.85,-0.050856,0.238502
1987-12,17.28,-0.083289,0.072626
1988-01,17.13,-0.008681,-0.081501
1988-02,16.8,-0.019264,-0.053521
1988-03,16.2,-0.035714,-0.114754
1988-04,17.86,0.102469,-0.043897
1988-05,17.42,-0.024636,-0.103909
1988-06,16.53,-0.051091,-0.176383
1988-07,15.5,-0.062311,-0.273664
1988-08,15.52,0.00129,-0.235844
1988-09,14.54,-0.063144,-0.255504
1988-10,13.77,-0.052957,-0.306647
1988-11,14.14,0.02687,-0.249867
1988-12,16.38,0.158416,-0.052083
1989-01,18.02,0.100122,0.051956
1989-02,17.94,-0.00444,0.067857
1989-03,19.48,0.085842,0.202469
1989-04,21.07,0.081622,0.179731
1989-05,20.12,-0.045088,0.154994
1989-06,20.05,-0.003479,0.212946
1989-07,19.78,-0.013466,0.276129
1989-08,18.58,-0.060667,0.197165
1989-09,19.59,0.05436,0.347318
1989-10,20.1,0.026034,0.459695
1989-11,19.86,-0.01194,0.404526
1989-12,21.1,0.062437,0.288156
1990-01,22.86,0.083412,0.26859
1990-02,22.11,-0.032808,0.232441
1990-03,20.39,-0.077793,0.046715
1990-04,18.43,-0.096126,-0.125297
1990-05,18.2,-0.01248,-0.095427
1990-06,16.7,-0.082418,-0.167082
1990-07,18.45,0.10479,-0.06724
1990-08,27.31,0.480217,0.46986
1990-09,33.51,0.227023,0.710567
1990-10,36.04,0.0755,0.793035
1990-11,32.33,-0.102941,0.627895
1990-12,27.28,-0.156202,0.292891
1991-01,25.23,-0.075147,0.103675
1991-02,20.48,-0.188268,-0.073722
1991-03,19.9,-0.02832,-0.024031
1991-04,20.83,0.046734,0.130222
1991-05,21.23,0.019203,0.166484
1991-06,20.19,-0.048987,0.208982
1991-07,21.4,0.059931,0.159892
1991-08,21.69,0.013551,-0.205785
1991-09,21.89,0.009221,-0.346762
1991-10,23.23,0.061215,-0.355438
1991-11,22.46,-0.033147,-0.305289
1991-12,19.5,-0.13179,-0.285191
1992-01,18.79,-0.03641,-0.255252
1992-02,19.01,0.011708,-0.071777
1992-03,18.92,-0.004734,-0.049246
1992-04,20.23,0.069239,-0.028805
1992-05,20.98,0.037074,-0.011776
1992-06,22.39,0.067207,0.108965
1992-07,21.78,-0.027244,0.017757
1992-08,21.34,-0.020202,-0.016136
1992-09,21.88,0.025305,-0.000457
1992-10,21.69,-0.008684,-0.066294
1992-11,20.34,-0.062241,-0.09439
1992-12,19.41,-0.045723,-0.004615
1993-01,19.03,-0.019578,0.012773
1993-02,20.09,0.055702,0.056812
1993-03,20.32,0.011448,0.073996
1993-04,20.25,-0.003445,0.000989
1993-05,19.95,-0.014815,-0.049094
1993-06,19.09,-0.043108,-0.147387
1993-07,17.89,-0.06286,-0.178604
1993-08,18.01,0.006708,-0.156045
1993-09,17.5,-0.028318,-0.200183
1993-10,18.15,0.037143,-0.163209
1993-11,16.61,-0.084848,-0.183382
1993-12,14.52,-0.125828,-0.251932
1994-01,15.03,0.035124,-0.210194
1994-02,14.78,-0.016633,-0.264311
1994-03,14.68,-0.006766,-0.277559
1994-04,16.42,0.118529,-0.189136
1994-05,17.89,0.089525,-0.103258
1994-06,19.06,0.0654,-0.001572
1994-07,19.66,0.03148,0.098938
1994-08,18.38,-0.065107,0.020544
1994-09,17.45,-0.050598,-0.002857
1994-10,17.72,0.015473,-0.023691
1994-11,18.07,0.019752,0.087899
1994-12,17.16,-0.05036,0.181818
1995-01,18.04,0.051282,0.200266
1995-02,18.57,0.029379,0.256428
1995-03,18.54,-0.001616,0.262943
1995-04,19.9,0.073355,0.211937
1995-05,19.74,-0.00804,0.10341
1995-06,18.45,-0.06535,-0.032004
1995-07,17.33,-0.060705,-0.118515
1995-08,18.02,0.039815,-0.019587
1995-09,18.23,0.011654,0.044699
1995-10,17.43,-0.043884,-0.016366
1995-11,17.99,0.032129,-0.004427
1995-12,19.03,0.05781,0.108974
1996-01,18.86,-0.008933,0.045455
1996-02,19.09,0.012195,0.028002
1996-03,21.33,0.117339,0.150485
1996-04,23.5,0.101735,0.180905
1996-05,21.17,-0.099149,0.072442
1996-06,20.42,-0.035427,0.106775
1996-07,21.3,0.043095,0.229083
1996-08,21.9,0.028169,0.215316
1996-09,23.97,0.094521,0.314866
1996-10,24.88,0.037964,0.427424
1996-11,23.71,-0.047026,0.317954
1996-12,25.23,0.064108,0.325801
1997-01,25.13,-0.003964,0.33245
1997-02,22.18,-0.11739,0.161865
1997-03,20.97,-0.054554,-0.016878
1997-04,19.7,-0.060563,-0.161702
1997-05,20.82,0.056853,-0.016533
1997-06,19.26,-0.074928,-0.056807
1997-07,19.66,0.020768,-0.076995
1997-08,19.95,0.014751,-0.089041
1997-09,19.8,-0.007519,-0.173967
1997-10,21.33,0.077273,-0.142685
1997-11,20.19,-0.053446,-0.148461
1997-12,18.33,-0.092125,-0.273484
1998-01,16.72,-0.087834,-0.33466
1998-02,16.06,-0.039474,-0.275924
1998-03,15.12,-0.058531,-0.27897
1998-04,15.35,0.015212,-0.220812
1998-05,14.91,-0.028664,-0.283862
1998-06,13.72,-0.079812,-0.287643
1998-07,14.17,0.032799,-0.279247
1998-08,13.47,-0.0494,-0.324812
1998-09,15.03,0.115813,-0.240909
1998-10,14.46,-0.037924,-0.322082
1998-11,13.0,-0.100968,-0.356117
1998-12,11.35,-0.126923,-0.380797
1999-01,12.52,0.103084,-0.251196
1999-02,12.01,-0.040735,-0.252179
1999-03,14.68,0.222315,-0.029101
1999-04,17.31,0.179155,0.127687
1999-05,17.72,0.023686,0.188464
1999-06,17.92,0.011287,0.306122
1999-07,20.1,0.121652,0.41849
1999-08,21.28,0.058706,0.579807
1999-09,23.8,0.118421,0.5835
1999-10,22.69,-0.046639,0.569156
1999-11,25.0,0.101807,0.923077
1999-12,26.1,0.044,1.299559
2000-01,27.26,0.044444,1.177316
2000-02,29.37,0.077403,1.445462
2000-03,29.84,0.016003,1.032698
2000-04,25.72,-0.13807,0.485846
2000-05,28.79,0.119362,0.624718
2000-06,31.82,0.105245,0.77567
2000-07,29.7,-0.066625,0.477612
2000-08,31.26,0.052525,0.468985
2000-09,33.88,0.083813,0.423529
2000-10,33.11,-0.022727,0.459233
2000-11,34.42,0.039565,0.3768
2000-12,28.44,-0.173736,0.089655
2001-01,29.59,0.040436,0.085473
2001-02,29.61,0.000676,0.008172
2001-03,27.25,-0.079703,-0.086796
2001-04,27.49,0.008807,0.068818
2001-05,28.63,0.04147,-0.005557
2001-06,27.6,-0.035976,-0.132621
2001-07,26.43,-0.042391,-0.110101
2001-08,27.37,0.035566,-0.12444
2001-09,26.2,-0.042748,-0.226682
2001-10,22.17,-0.153817,-0.330414
2001-11,19.64,-0.114118,-0.429402
2001-12,19.39,-0.012729,-0.318214
2002-01,19.72,0.017019,-0.333559
2002-02,20.72,0.05071,-0.300236
2002-03,24.53,0.18388,-0.099817
2002-04,26.18,0.067265,-0.047654
2002-05,27.04,0.03285,-0.055536
2002-06,25.52,-0.056213,-0.075362
2002-07,26.97,0.056818,0.020431
2002-08,28.39,0.052651,0.037267
2002-09,29.66,0.044734,0.132061
2002-10,28.84,-0.027647,0.300857
2002-11,26.35,-0.086338,0.34165
2002-12,29.46,0.118027,0.51934
2003-01,32.95,0.118466,0.670892
2003-02,35.83,0.087405,0.729247
2003-03,33.51,-0.06475,0.366082
2003-04,28.17,-0.159355,0.076012
2003-05,28.11,-0.00213,0.039571
2003-06,30.66,0.090715,0.201411
2003-07,30.76,0.003262,0.140527
2003-08,31.57,0.026333,0.112011
2003-09,28.31,-0.103263,-0.045516
2003-10,30.34,0.071706,0.052011
2003-11,31.11,0.025379,0.180645
2003-12,32.13,0.032787,0.090631
2004-01,34.31,0.067849,0.041275
2004-02,34.69,0.011075,-0.031817
2004-03,36.74,0.059095,0.096389
2004-04,36.75,0.000272,0.304579
2004-05,40.28,0.096054,0.432942
2004-06,38.03,-0.055859,0.240378
2004-07,40.78,0.072311,0.325748
2004-08,44.9,0.10103,0.422236
2004-09,45.94,0.023163,0.622748
2004-10,53.28,0.159774,0.756098
2004-11,48.47,-0.090278,0.55802
2004-12,43.15,-0.109759,0.342982
2005-01,46.84,0.085516,0.3652
2005-02,48.15,0.027968,0.388008
2005-03,54.19,0.125441,0.474959
2005-04,52.98,-0.022329,0.441633
2005-05,49.83,-0.059456,0.23709
2005-06,56.35,0.130845,0.481725
2005-07,59.0,0.047028,0.446788
2005-08,64.99,0.101525,0.447439
2005-09,65.59,0.009232,0.427732
2005-10,62.26,-0.05077,0.168544
2005-11,58.32,-0.063283,0.203218
2005-12,59.41,0.01869,0.376825
2006-01,65.49,0.10234,0.398164
2006-02,61.63,-0.05894,0.279958
2006-03,62.69,0.017199,0.156856
2006-04,69.44,0.107673,0.310683
2006-05,70.84,0.020161,0.421634
2006-06,70.95,0.001553,0.259095
2006-07,74.41,0.048767,0.261186
2006-08,73.04,-0.018412,0.123865
2006-09,63.8,-0.126506,-0.027291
2006-10,58.89,-0.076959,-0.054128
2006-11,59.08,0.003226,0.013032
2006-12,61.96,0.048747,0.042922
2007-01,54.51,-0.120239,-0.167659
2007-02,59.28,0.087507,-0.038131
2007-03,60.44,0.019568,-0.035891
2007-04,63.98,0.05857,-0.078629
2007-05,63.46,-0.008128,-0.104178
2007-06,67.49,0.063505,-0.048767
2007-07,74.12,0.098237,-0.003897
2007-08,72.36,-0.023745,-0.00931
2007-09,79.92,0.104478,0.252665
2007-10,85.8,0.073574,0.456954
2007-11,94.77,0.104545,0.604096
2007-12,91.69,-0.0325,0.479826
2008-01,92.97,0.01396,0.705559
2008-02,95.39,0.02603,0.609143
2008-03,105.45,0.105462,0.744705
2008-04,112.58,0.067615,0.759612
2008-05,125.4,0.113875,0.976048
2008-06,133.88,0.067624,0.983701
2008-07,133.37,-0.003809,0.799379
2008-08,116.67,-0.125216,0.612355
2008-09,104.11,-0.107654,0.302678
2008-10,76.61,-0.264144,-0.10711
2008-11,57.31,-0.251925,-0.395273
2008-12,41.12,-0.282499,-0.551532
2009-01,41.71,0.014348,-0.551361
2009-02,39.09,-0.062815,-0.590209
2009-03,47.94,0.226401,-0.545377
2009-04,49.65,0.03567,-0.55898
2009-05,59.03,0.188922,-0.529266
2009-06,69.64,0.179739,-0.479833
2009-07,64.15,-0.078834,-0.519007
2009-08,71.05,0.10756,-0.391017
2009-09,69.41,-0.023082,-0.333301
2009-10,75.72,0.090909,-0.011617
