Date,Value,ChangePercentMonth,ChangePercentYear
1985-01,167.199997,,
1985-02,179.630005,0.074342,
1985-03,181.179993,0.008629,
1985-04,180.660004,-0.00287,
1985-05,179.830002,-0.004594,
1985-06,189.550003,0.054051,
1985-07,191.850006,0.012134,
1985-08,190.919998,-0.004848,
1985-09,188.630005,-0.011995,
1985-10,182.059998,-0.03483,
1985-11,189.820007,0.042623,
1985-12,202.169998,0.065062,
1986-01,211.279999,0.045061,0.263636
1986-02,211.779999,0.002367,0.178979
1986-03,226.919998,0.071489,0.252456
1986-04,238.899994,0.052794,0.322373
1986-05,235.520004,-0.014148,0.309681
1986-06,246.039993,0.044667,0.298022
1986-07,250.669998,0.018818,0.306594
1986-08,236.119995,-0.058044,0.236748
1986-09,252.929993,0.071193,0.340879
1986-10,231.320007,-0.085439,0.27057
1986-11,243.970001,0.054686,0.28527
1986-12,249.220001,0.021519,0.232725
1987-01,242.169998,-0.028288,0.146204
1987-02,274.079987,0.131767,0.294173
1987-03,284.170013,0.036814,0.252292
1987-04,291.589996,0.026111,0.220553
1987-05,286.98999,-0.015776,0.218538
1987-06,290.119995,0.010906,0.179158
1987-07,303.98999,0.047808,0.21271
1987-08,318.619995,0.048127,0.349399
1987-09,329.809998,0.03512,0.303958
1987-10,321.829987,-0.024196,0.391276
1987-11,251.729996,-0.217817,0.031807
1987-12,230.320007,-0.085051,-0.075837
1988-01,247.100006,0.072855,0.020358
1988-02,257.049988,0.040267,-0.062135
1988-03,267.820007,0.041899,-0.057536
1988-04,258.890015,-0.033343,-0.112144
1988-05,261.359985,0.009541,-0.089306
1988-06,262.160004,0.003061,-0.096374
1988-07,273.5,0.043256,-0.100299
1988-08,272.029999,-0.005375,-0.146224
1988-09,261.519989,-0.038635,-0.207059
1988-10,271.890015,0.039653,-0.155175
1988-11,278.970001,0.02604,0.108211
1988-12,273.679993,-0.018963,0.18826
1989-01,277.720001,0.014762,0.123917
1989-02,297.470001,0.071115,0.157246
1989-03,288.859985,-0.028944,0.07856
1989-04,294.869995,0.020806,0.138978
1989-05,309.640015,0.05009,0.184726
1989-06,320.51001,0.035105,0.222574
1989-07,317.980011,-0.007894,0.162633
1989-08,346.079987,0.08837,0.272213
1989-09,351.450012,0.015517,0.343874
1989-10,349.149994,-0.006544,0.284159
1989-11,340.359985,-0.025175,0.220059
1989-12,346.01001,0.0166,0.264287
1990-01,353.399994,0.021358,0.272505
1990-02,329.079987,-0.068817,0.106263
1990-03,331.890015,0.008539,0.148965
1990-04,339.940002,0.024255,0.152847
1990-05,330.799988,-0.026887,0.068337
1990-06,361.26001,0.09208,0.127141
1990-07,358.019989,-0.008969,0.12592
1990-08,356.149994,-0.005223,0.029097
1990-09,322.559998,-0.094314,-0.082202
1990-10,306.100006,-0.051029,-0.123299
1990-11,303.98999,-0.006893,-0.106857
1990-12,322.230011,0.060002,-0.068726
1991-01,330.200012,0.024734,-0.065648
1991-02,343.910004,0.04152,0.045065
1991-03,367.070007,0.067343,0.105999
1991-04,375.220001,0.022203,0.103783
1991-05,375.350006,0.000346,0.134674
1991-06,389.809998,0.038524,0.079029
1991-07,371.179993,-0.047793,0.036758
1991-08,387.809998,0.044803,0.088895
1991-09,395.429993,0.019649,0.225911
1991-10,387.859985,-0.019144,0.267102
1991-11,392.459991,0.01186,0.291029
1991-12,375.109985,-0.044208,0.164106
1992-01,417.029999,0.111754,0.262962
1992-02,408.790009,-0.019759,0.188654
1992-03,412.679993,0.009516,0.124254
1992-04,403.670013,-0.021833,0.075822
1992-05,414.950012,0.027944,0.105502
1992-06,415.350006,0.000964,0.065519
1992-07,408.200012,-0.017214,0.099736
1992-08,424.190002,0.039172,0.093809
1992-09,414.029999,-0.023952,0.047037
1992-10,417.799988,0.009106,0.077193
1992-11,418.660004,0.002058,0.066758
1992-12,431.350006,0.030311,0.149929
1993-01,435.700012,0.010085,0.044769
1993-02,438.779999,0.007069,0.073363
1993-03,443.380005,0.010484,0.074392
1993-04,451.670013,0.018697,0.118909
1993-05,440.190002,-0.025417,0.060827
1993-06,450.230011,0.022808,0.083977
1993-07,450.540009,0.000689,0.103724
1993-08,448.130005,-0.005349,0.056437
1993-09,463.549988,0.03441,0.119605
1993-10,458.929993,-0.009967,0.098444
1993-11,467.829987,0.019393,0.117446
1993-12,461.929993,-0.012611,0.070894
1994-01,466.51001,0.009915,0.070714
1994-02,481.600006,0.032347,0.097589
1994-03,467.190002,-0.029921,0.053701
1994-04,445.660004,-0.046084,-0.013306
1994-05,450.910004,0.01178,0.024353
1994-06,456.5,0.012397,0.013926
1994-07,444.269989,-0.026791,-0.013917
1994-08,458.279999,0.031535,0.02265
1994-09,475.48999,0.037553,0.025758
1994-10,462.690002,-0.02692,0.008193
1994-11,472.26001,0.020683,0.009469
1994-12,453.549988,-0.039618,-0.018141
1995-01,459.209991,0.012479,-0.015648
1995-02,470.420013,0.024412,-0.023214
1995-03,487.390015,0.036074,0.043237
1995-04,500.700012,0.027309,0.123502
1995-05,514.76001,0.028081,0.141603
1995-06,533.400024,0.036211,0.168456
1995-07,544.75,0.021279,0.226169
1995-08,562.059998,0.031776,0.226455
1995-09,561.880005,-0.00032,0.181686
1995-10,584.409973,0.040097,0.26307
1995-11,581.5,-0.004979,0.231313
1995-12,605.369995,0.041049,0.334737
1996-01,615.929993,0.017444,0.341282
1996-02,636.02002,0.032617,0.352026
1996-03,640.429993,0.006934,0.313999
1996-04,645.5,0.007917,0.289195
1996-05,654.169983,0.013431,0.270825
1996-06,669.119995,0.022853,0.254443
1996-07,670.630005,0.002257,0.231078
1996-08,639.950012,-0.045748,0.13858
1996-09,651.98999,0.018814,0.160372
1996-10,687.309998,0.054173,0.176075
1996-11,705.27002,0.026131,0.212846
1996-12,757.02002,0.073376,0.250508
1997-01,740.73999,-0.021505,0.202637
1997-02,786.159973,0.061317,0.236062
1997-03,790.820007,0.005928,0.234827
1997-04,757.119995,-0.042614,0.17292
1997-05,801.340027,0.058406,0.224972
1997-06,848.280029,0.058577,0.267755
1997-07,885.140015,0.043453,0.319863
1997-08,954.289978,0.078123,0.491195
1997-09,899.469971,-0.057446,0.379576
1997-10,947.280029,0.053154,0.378243
1997-11,914.619995,-0.034478,0.296837
1997-12,955.400024,0.044587,0.262054
1998-01,970.429993,0.015732,0.310082
1998-02,980.280029,0.01015,0.246922
